CC Agency ID,State/Territory,Catholic Diocese Name,CC Agency Name,Primary Website homepage,USCCB Region,CCUSA Regions
337,Pennsylvania,Altoona-Johnstown,Catholic Charities of the Diocese of Altoona-Johnstown,https://www.catholiccharitiesaj.org/,3,6
339,Pennsylvania,Greensburg,Catholic Charities of the Diocese of Greensburg,https://www.ccharitiesgreensburg.org/,3,6
340,Pennsylvania,Harrisburg,Catholic Charities of the Diocese of Harrisburg,https://www.hbgdiocese.org/,3,6
341,Pennsylvania,Philadelphia,"Catholic Social Services, Philadelphia",https://cssphiladelphia.org/,3,6
342,Pennsylvania,Pittsburgh,Catholic Charities of the Diocese of Pittsburgh,https://www.ccpgh.org/,3,6
344,Pennsylvania,Scranton,Catholic Social Services of the Diocese of Scranton,https://www.dioceseofscranton.org/,3,6
345,Puerto Rico,San Juan,"Caritas de Puerto Rico, Inc.",https://caritaspr.net/,4,5
346,Rhode Island,Providence,Catholic Social Services Rhode Island,https://dioceseofprovidence.org/find-support,1,6
348,South Carolina,Charleston,Catholic Charities of South Carolina,https://charitiessc.org/,14,5
349,South Dakota,Rapid City,"Catholic Social Services, Rapid City",https://www.cssrapidcity.com/,8,3
351,Tennessee,Knoxville,Catholic Charities of East Tennessee,http://www.ccetn.org/,5,5
352,Tennessee,Memphis,Catholic Charities of West Tennessee,http://www.ccwtn.org/,5,5
353,Tennessee,Nashville,"Catholic Charities of Tennessee, Inc.",http://www.cctenn.org/,5,5
354,Texas,Amarillo,Catholic Charities of the Texas Panhandle,https://cctxp.org/,10,2
355,Texas,Austin,Catholic Charities of Central Texas,https://ccctx.org/,10,2
356,Texas,Beaumont,Catholic Charities of Southeast Texas,https://www.ccsetx.org/,10,2
357,Texas,Brownsville,Catholic Charities of the Rio Grande Valley,https://catholiccharitiesrgv.org/,10,2
358,Texas,Corpus Christi,"Catholic Charities of Corpus Christi, Inc.",https://www.catholiccharities-cc.org/,10,2
359,Texas,Dallas,Catholic Charities Dallas,https://www.ccdallas.org/,10,2
361,Texas,Fort Worth,Catholic Charities Diocese of Fort Worth,https://catholiccharitiesfortworth.org/,10,2
362,Texas,Galveston-Houston,Catholic Charities of the Archdiocese of Galveston-Houston,https://catholiccharities.org/,10,2
383,Texas,Laredo,Catholic Charities Diocese of Laredo,https://dioceseoflaredo.org/catholic-charities/,10,2
363,Texas,Lubbock,Catholic Charities of Lubbock,https://cclubbock.org/,10,2
364,Texas,San Angelo,Catholic Charities Community Services of Odessa,https://ccodessa.com/,10,2
365,Texas,San Antonio,"Catholic Charities, Archdiocese of San Antonio, Inc.",https://ccaosa.org/,10,2
384,Texas,Tyler,Catholic Charities Diocese of Tyler,https://ccetx.org/,10,2
367,Utah,Salt Lake City,Catholic Community Services of Utah,https://www.ccsutah.org/,13,2
372,Vermont,Burlington,Vermont Catholic Charities,https://www.vermontcatholic.org/,1,6
371,Virgin Islands,St. Thomas,Catholic Charities Virgin Islands,https://catholiccharitiesvi.org/,4,5
368,Virginia,Arlington,Catholic Charities of the Diocese of Arlington,https://www.ccda.net/,4,5
369,Virginia,Richmond,Catholic Charities of Eastern Virginia,https://cceva.org/,4,5
370,Virginia,Richmond,Commonwealth Catholic Charities,https://www.cccofva.org/,4,5
373,Washington,Seattle,Catholic Community Services of Western Washington,https://ccsww.org/,12,1
374,Washington,Spokane,Catholic Charities Eastern Washington,https://www.cceasternwa.org/,12,1
375,Washington,Yakima,Catholic Charities of Central Washington,https://catholiccharitiescw.org/,12,1
381,West Virginia,Wheeling-Charleston,Catholic Charities West Virginia,https://www.ccwva.org/,4,5
376,Wisconsin,Green Bay,Catholic Charities of the Diocese of Green Bay,https://catholiccharitiesgb.org/,7,4
377,Wisconsin,La Crosse,Catholic Charities of the Diocese of La Crosse,https://cclse.org/,7,4
378,Wisconsin,Madison,Catholic Charities Madison,https://catholiccharitiesofmadison.org/,7,4
379,Wisconsin,Milwaukee,Catholic Charities of the Diocese of Milwaukee,https://www.ccmke.org,7,4
380,Wisconsin,Superior,Catholic Charites Bureau,https://ccbsuperior.org/,7,4
382,Wyoming,Cheyenne,Catholic Charities of Wyoming,https://www.charitieswyoming.org/,13,2
